Society,Culture Region,Description,Age of doll,Gender of doll,Clothes,Hair,Face,Materials,Use,Type of Magic,Type of Play,User age,User gender,Maker age,Maker gender,Age at alloparenting,Age at marriage,Source,Children Do Childcare
Somalia,Eastern Africa,"""The girls simulate household work; elongated stones are their dolls, which they wrap in old rags; they build their little huts with branches and use big leaves as mats; for goats and sheep they use two kinds of mountain shells."" pg 500",NA,NA,Yes,NA,NA,Stone,Play,,Caregiving,Child,Girl,Child,Girl,,," (1931) Somali games
Section: GAMES OF PRETENCE.
By: Marin, G. ",
Jivaro,South America,"Absent A girl approximately six years or older may have not only the above tasks, but also directly assists her mother in garden work of all kinds, including planting, weeding, and harvesting. When her mother is making pottery, she imitates her by making and firing miniature vessels and also may form and fire miniature dogs. No dolls in human form are produced, however. """,,,,,,,,,,,,,,,,,"Girls, no data on boys"
Siriono,South America,"Absent: ""“Strikingly enough, miniature bows and arrows for boys and spindles for girls are the only toys which the Siriono make for their children. There is a conspicuous lack of dolls, animal figures, puzzles, cradles, stilts, balls, string figures, etc., so commonly found in other primitive societies""",,,,,,,,,,,,,,,,,
Tehuelche,South America,"""Sánchez Labrador (1936, pp. 39–43, 46–49) mentions the following items as characteristic of the Pampa Indians in general: Target shooting with toy bolas as boys' play; dolls, jacks, and hop-scotch as girls' play;""",,,,,,,Play,,,Child,Girl,,,,,,
Tukano,South America,"Absent: ""We did not find characteristic objects of play for the girls, such as the dolls of the civilized. In any case, from an early age the children of the female sex are put to work, and they do not have much time for toys.""",,,,,,,,,,,,,,,,,
Basques,Southern Europe,""" Sex roles are obviously present; girls will never engage in war or burruka and dolls constitute their basic toys."" pg 79",,,,,,,Play,,,Child,Girl,,,,," (1988) Basque violence: metaphor and sacrament
Section: The Jolas Model
By: Zulaika, Joseba ",
Imperial Rome,Southern Europe,"""Preparations for marriage. The ceremony of betrothal over, it was time to think of the wedding outfit. Custom made it the father's place to purchase jewels and provide the trousseau for his daughter. He also selected the servants who should follow the young wife into her new dwelling. When all these preparations were over, he had the pleasure of seeing his daughter dedicate her doll and her other toys to the divinities which had protected her childhood. Then came the wedding day."" pg 43",,,,,,,Play & Magic,"Protection, Spirits",,"Child, Adult",Girl,,,,," (1897) Roman life in Pliny's time
Section: CHAPTER II. WOMEN AND MARRIAGE.
By: Pellisson, Maurice, ",
Enxet and Enlhet,Southern South America,"""The doll shown in Cross-Reference: (Pl. XL, 4), is merely a small unaltered bone dressed up in rags."" pg 297",,,Yes,,,"Bone, Cloth",Play,,,,,,,,," (1901) The Lengua Indians of the Paraguayan Chaco
Section: THE LENGUA INDIANS OF THE PARAGUAYAN CHACO.
By: Hawtrey, S. H. C. ",
Yahgan,Southern South America,"""On most days, if the girl is not needed by her mother, she is left to her own resources. She spends these hours among her playthings. Chiefly she takes up her doll, which is extraordinarily simple and hardly deserves the name, quite in contrast to the not unattractive article that makes the Selk'nam girls happy (Vol. I, 395). A cylindrical-shaped stone the size of one's fist or a short rounded piece of wood without any finish or ornament suffices for this yëka□la. The girl treasures, cherishes, carries, and treats her little doll exactly the way a European girl does; sometimes she even talks to it."" pg 583",,,,,,"Stone, Wood",Play,,,Child,Girl,,,,," (1937) The Yahgan: the life and thought of the water nomads of Cape Horn
Section: β. Girls' Play
By: Gusinde, Martin",
Eastern Apache,Southwest and Basin,"""The girls fashion dolls from panic grass and string together ground cherries to form little figures. They then make, on a tiny scale, substitutes for all the possessions they observe in their own households. Small toy homes are constructed from a number of plants. Ferns yield pillows, blankets, and beds for the dolls. From the Jacob's-ladder are shaped little dresses for the doll, and these dresses are decorated with “jingles” of sideoats grama grass. Even a miniature of the food staple, mescal, has been found, and so the dolls go forth industriously to gather “doll's mescal” ( Androsace pinetorum ). Food is generously provided at these toy encampments, wild peas often serving as the main dish."" pg 45",,,,,,Grass,Play,,,Child,Girl,Child,Girl,,," (1941) An Apache life-way: the economic, social, and religious institutions of the Chiricahua Indians
Section: PLAY
By: Opler, Morris Edward",
Havasupai,Southwest and Basin,"""Much of a girl's role is outlined for her indirectly. Children of both sexes share their games and, to some extent, their work. Verbal definition of the respective sex roles begins when a child is four or five. “We tell a boy not to play with dolls; it's for girls. We tell little girls not to play with a rope (a lasso). Hers is a doll.”"" pg 43",,,,,,,Play,,,Child,Girl,,,,," (1959) The Havasupai woman
Section: Kinship
By: Smithson, Carma Lee ",
Northern Paiute,Southwest and Basin,"""Boys walked on stilts, made whistles of willow or cane, and swung bull-roarers. Girls played with clay dolls and miniature baskets in imitation of female activities."" pg 454",,,,,,Clay,Play,,,Child,Girl,,,,," (1986) Northern Paiute
Section: Games
By: Fowler, Catherine S. ",
O'odham,Southwest and Basin,"""An enemy slayer had made for him an effigy of an Apache, using the hairs he had taken from the slain man's temples. The slayer's guardian if skillful contrived a doll of buckskin dressed in Apache costume and wearing the hair."" pg 76",Adult,,,,,Skin,Magic,Punishment,,,,,,,," (1935) The ethnobiology of the Papago Indians
Section: CEREMONIAL OBJECTS AND PRACTICES
By: Castetter, Edward Franklin",
O'odham (2),Southwest and Basin,"""Little girls' play is also imitative. They enjoy the rag dolls made by mother or grandmother, and they are often seen playing house in a corner of the yard, out of the way of the women at work but within sight and call. "" pg 135",,,,,,,Play,,,Child,Girl,Adult,Woman,,," (1949) The desert people: a study of the Papago Indians
Section: PLAY ACTIVITIES
By: Joseph, Alice ",
O'odham (3),Southwest and Basin,"""Children went naked until the age of eight or ten. After this, the boys wore breechclouts and the girls a double apron, like their elders. Until this age, which was also that of taking up a few adult duties, both sexes played together making dolls of twigs tied together with corn husk."" pg 159",,,,,,"Wood, Corn",Play,,,Child,Mixed,Child,Mixed,,," (1939) Social organization of the Papago Indians
Section: CHILDHOOD
By: Underhill, Ruth",
O'odham (4),Southwest and Basin,"""But somehow he must have angered them, so that they felt they were not treated well. Those Prisoners are very wild. They come out of their basket like little men and run about the house at night. It happens even if you do not make them into dolls as my father's guardian did; even if you simply lay the hair in a basket. They come like handsome men and lie beside women and make them sick. "" pg 21

"" began to dream of those wild women. They can haunt you just as the Prisoners do. They make men and women crazy, sometimes so that they run out and die. Then you must make little clay dolls, a man and a woman, and have the medicine man sing over them to quiet the sick person. I was not bad enough for that, but sometimes, when I sat alone at my basketry, it would seem to me that I saw a boy and a girl making love and it made me wild."" pg 30",,,,,,,Magic,"Protection, Spirits",,,,Adult,,,," (1936) The autobiography of a Papago woman
Section: IV
By: Chona, Maria ",
Zuni,Southwest and Basin,"""Children's games are many and varied. Some are familiar to children the world round: tag, hide and seek, stilt walking, tug of war, and hoops. The girls play with dolls made of clay baked in the ovens, or of cottonwood root carved by the men. "" pg 99",,,,,,"Clay, Wood",Play,,,Child,Girl,Adult,Man,,," (1963) People of the middle place: a study of the Zuni Indians
Section: Later Childhood
By: Leighton, Dorothea Cross,",
Zuni (2),Southwest and Basin,""" The doll is made by anyone who “knows how,” that is, who has the supernatural power to make it effective. It will ensure a safe delivery and a healthy child."" pg 536",,,,,,,Magic,"Fertility, Protection",,,,,,,,"1932) Introduction to Zuñi ceremonialism
Section: THE CALENDAR
By: Bunzel, Ruth Leah",
Tallensi,Western Africa,"""Older girls sometimes introduce dolls as the ‘children’—clay figures of people made by themselves or, more usually, for them by their brothers."" pg 55",Infant,NA,NA,NA,NA,Clay,Play,,Caregiving,Child,Girl,Child,"Girl, Boy",,," (1938) Social and psychological aspects of education in Taleland
Section: V. FUNDAMENTAL LEARNING PROCESSES
By: Fortes, Meyer ",
Teda,Central Afrtica,"""Other play seems freer, and challenges their skill and imagination. They build small packsaddles, small tents, mould animals in clay; little girls make dolls of clay with wooden arms and legs."" pg 215",NA,NA,NA,NA,NA,"Clay, Wood",Play,,Caregiving,Child,Girl,Child,Girl,,,"(1957) Black nomads of the Sahara
Section: 1. Childhood.
By: Chapelle, Jean, 1905",
Tiv,Western Africa,"""The Ibiyamegh doll."" pg ii",Adult,NA,NA,NA,NA,Wood,Magic,Spirits,,,,,,,," (1933) The Tiv people
Section: LIST OF PLATES.
By: Abraham, Roy Clive",
Tsonga,Southern Africa,"""Ronga girls imitate the doings of their mothers, their cooking, their gathering of fuel, etc., just as the boys imitate the fighting and hunting of the men. They also play with dolls, nursing them as they see the women nursing babies. These dolls are called vule. The origin of the game is as follows. A little girl asks her mother who is carrying a younger child on her shoulders: Mother, where did you find your baby? — Oh! I found it in the bush (ntlhaben). — Please bring me one also, mother. — All right!— Next day the mother plucks a sala in the bush, removes all the stones inside it, lets it dry and fixes it to the end of a stick. She pierces the upper part of the sphere, passes bits of string through the holes to imitate hair, smears them with ochre, ties a little clothing round the stick and gives it to the girl! Or if the mother says: “I found the baby in the banana grove,” the father will cut a banana stem, take the heart of the bulb and beat it so as to separate the fibres, which will then represent the hair of the baby; the girl will then play with it for a time."" pg 172",Infant,NA,Yes,Yes,NA,"Wood, Cloth",Play,,Caregiving,Child,Girl,Adult,Woman,,," (1927) The life of a South African tribe: vol. 1
Section: I. The Girls' games.
By: Junod, Henri Alexandre",
Vietnamese,Southeast Asia,"""The servant places a doll which looks red between the legs of the unhappy woman in labor. It is Ong Lang, the “Ong Tô” which was passed to her from the actors' room and who is always happy to play the role of a newborn baby. The mandarin's wife respectfully comes to the communal room to report the happy delivery. The mandarin takes the lamp in his hand and precedes his guest to the room where the mother, whose serenity is restored, is resting on the bed, the child wrapped in white swaddling clothes in her arms."" pg 72",,,,,,,Magic,"Fertility, Protection",,,,,,,," (1926) The material organization of the popular theater among the Annamese
Section: CHAPTER IV SCENIC SYMBOLISM
By: Coulet, Georges ",
Vietnamese (2),Southeast Asia,"""Once the spirit who is the cause of the illness has consented to reveal himself, the task of the thay phap is to make him pass into the body of the medium or con dong. The details of the latter's role have already been described in several of the preceding articles, /see 136: Landes. Indochina AMl—Analyst/ and there is no need to repeat them here. Sometimes the possessing spirit is merely made to pass into one of the little wooden dolls (tuong) with which the con dong then appears to enter into communication. In other cases, perhaps more frequently, at least among the poor, the con dong is not employed, and it is by the very mouth of the invalid that the possessing spirit manifests himself."" pg 8",,,,,,Wood,Magic,"Protection, Spirits",,,,,,,," (1881) Notes on the customs and popular superstitions of the Annamese
Section: Thay Phap
By: Landes, A. ",
Vietnamese (3),Southeast Asia,"""The Annamese believe that the soul wanders in the imponderable ether; the air is filled with them; and they think that it is necessary for these souls to live. Therefore they offer them ritual repasts and burn for their sake tiny horses, paper bars of gold and silver, and mandarin caps. Thus the souls will be satisfied. Servants are given to them by burning common dolls which will aid them in the suprasensible world, and they are made to be helpful and favorable by burning thin sticks of incense in their honor. "" pg 28",,,,,,,Magic,"Spirts, Funerary",,,,,,,," (1907) Annam of former times
Section: Untitled Section
By: Pasquier, Pierre ",
Wolof,Western Africa,"""As in most nonliterate groups, Wolof children, especially girls, learn adult patterns of work at an early age. The girls learn from their mothers by observation and imitation, except for instruction in cooking certain dishes which are quite difficult to prepare. Little girls, four to six years old, too young to do any of the household tasks, “play house” like little girls in literate societies. Their “houses” are dirt walls without roofs, large enough to sit in, and furnished with bed and water jar also made of dirt. Each “wife” builds her dirt house next to that of her “co-wife,” as in the compounds of their parents. These “wives” busy themselves with “cooking” sand in tin cans or clay pots and caring for their dolls, which are ingeniously made, and have elaborate coiffures, jewelry, amulets, and several changes of clothing. Girls through their play rehearse for adult life in many ways. One group enacted a complete wedding ceremony, lasting four days like a real ceremony, with the assistance of the adults and some of the boys in the village. They also have their own work society, as young women do, with an adult woman as their leader."" pg 73",Infant,NA,Yes,Yes,,NA,Play,,Caregiving,Child,Girl,NA,NA,,," Plural marriage among the Wolof in the Gambia: with a consideration of problems of marital adjustment and patterned ways of resolving tensions
Section: CHAPTER III THE DAILY ROUTINE AND THE WORK YEAR OF THE MARRIED WOMAN
By: Ames, David W",
Yi,East Asia,"""I found out after a while that the fear of the doll was the fear of witchcraft. When there is illness about, especially when the disease is contagious, the wizard is called in, and he makes a kind of doll of straw, etc., and into this doll he charms the demon of the disease. The straw figure is then taken out and placed by the roadside. Before long the demon is supposed to pass into some one or other of the passers-by, and in that case the person originally ill recovers rapidly"" pg 93",NA,NA,NA,NA,NA,Straw,Magic,Protection,,,,Adult,,,," (1921) In unknown China: a record of the observations, adventures and experiences of a pioneer missionary during a prolonged sojourn amongst the wild and unknown Nosu tribe of western China
Section: CHAPTER VIII THE FIRST STOP IN NOSULAND
By: Pollard, Samuel",
Yukaghir,North Asia,"""Fig. 13 ( ) represents a shaman's apron, nel, made of reindeer hide. On the chest there are figures of men cut out of cloth, which are called be'yikanča, “dolls” (literally, “representations of human figures”). They are the helpers of the shaman and are called in Tungus nu'lura. Excepting these sewn-on figures the shaman's apron differs in no way from an ordinary woman's apron. We find the same appliqué decorations, embroideries, fringe and tassels, called u'rdan."" pg 186",Adult,NA,Yes,NA,NA,Cloth,Magic,Spirits,,,,Adult,,,," (1975) The Yukaghir and the Yukaghirized Tungus
Section: The Dresses of Tungus Shamans .
By: Jochelson, Waldemar,",
