Society,Culture Region,Description,Age of doll,Gender of doll,Clothes,Hair,Face,Materials,Use,Type of Magic,Type of Play,User age,User gender,Maker age,Maker gender,Age at alloparenting,Age at marriage,Source,Children Do Childcare
Mongolia (2),Central Asia,"""As a rule shamans received their calling from the onggod. The onggod were mostly local ancestral or tutelary spirits of which images were made: wooden figures or felt dolls which were hung up or embroidered into material."" pg 80",Adult,NA,Yes,NA,NA,"Wood, Cloth",Magic,,,,,Adult,,,," (2001) Mongolian nomadic society: a reconstruction of the 'medieval' history of Mongolia
Section: FEATURES OF MONGOLIAN TRIBAL ORGANISATION MONGOLIAN TRIBES AND THEIR RELATIONS
By: Bold, B. (Bat-Ochiryn)",
Nenets,North Asia,"""On the Kanin the women who are assisting bring the old woman of the tent a wooden doll resembling a woman, in order to ease the birth."" pg 103",Adult,NA,NA,NA,NA,Wood,Magic,"Protection, Fertility",,,,Adult,Woman,,," (1924) Sketch of a mythology of the Yurak Samoyed
Section: Holy Places and the Spirits that Inhabit Them
By: Lehtisalo, Toivo,",
Nenets (2),North Asia,"""The old woman of the earth of the Samoyed is obviously connected with the universally honored great birth-mother. The tundra Yurak make a wooden doll of her, resembling a human and dressed like a woman. The mother gives one of these to her daughter when the latter goes into the men's tent. It is supposed to be very unclean and is kept in the women's corner separate from the haehe. If we assume from this that the doll is reminiscent of ngytterma or the picture of the deceased sorcerer, we may say that at the same time it represents an ancestress. And indeed Veniamin says that at a birth the Samoyed bring out spirit images representing male (!) and female ancestors"" pg 102",Adult,NA,Yes,NA,NA,Wood,Magic,Spirits,,,,Adult,,,," (1924) Sketch of a mythology of the Yurak Samoyed
Section: Holy Places and the Spirits that Inhabit Them
By: Lehtisalo, Toivo,",
Nicobarese,South Asia,""" This good spirit is visible to the eyes of all beholders, but to the uninitiated he might seem to be a fairly well-made doll of leaves about four feet in height."" pg 156",Adult,NA,NA,NA,NA,Leaves,Magic,Spirits,,,,Adult,,,," (1924) In the Nicobar Islands: the record of a lengthy sojourn in islands of sunshine & palms amongst a people primitive in their habits & beliefs & simple in their manner of living, with a description of their customs & religious ceremonies & an accout of their superstitions, traditions, & folklore
Section: DRIVING THE EVIL SPIRITS OUT OF A VILLAGE
By: Whitehead, George",
Nivkh,North Asia,"""The building of a little grave house can be postponed, but the dressed stuffed doll — k:ak (1) 1. K:ak — wooden image of the deceased, a receptacle for his soul. must be made without fail. "" pg 443",Adult,NA,Yes,NA,NA,Wood,Magic,Spirits,,,,Adult,,,," (1933) The Gilyak, Orochi, Goldi, Negidal, Ainu: articles and materials
Section: VII. Religion
By: Shternberg, Lev IAkovlevich",
NIvkh (2),North Asia,"""This same wolf tendon is used in another way. When something is lost, they fashion a stuffed doll, like a man, out of a rotten piece of wood and place a seal bladder on its head. They bind its neck with a wolf tendon, and at night they walk around and knock in the corner of the first yurt, saying: “Pyz' nyngjá — look 304 cont. for your master!” And thus 305 they go around the entire village, meanwhile pulling on the tendon. Then the thief begins to suffocate from fright and confesses. A shout goes up; it happens that the thief dies from it."" pg 439",Adult,NA,Yes,NA,NA,Wood,Magic,Punishment,,,,Adult,,,,"1933) The Gilyak, Orochi, Goldi, Negidal, Ainu: articles and materials
Section: VI. The Family and the Clan
By: Shternberg, Lev IAkovlevich, ",
Kaska,North America,"Absent for play: Dolls did not constitute playthings.""",,,,,,,,,,,,,,,,,No data on sex
Huichol,Northwestern Mexico,"""“In the cave there is a stone doll (idol) about a foot high said to be an ancestor. 51 51 This ancestor is apparently the idol of Grandfather Fire. There is also a stick about three feet long and five or six inches in diameter. The novitiate scrapes a little off the stone idol 52 52 This idol must be that of the Fire god, because Lumholtz who saw it forty years ago says of this eating of it for sacred power: “But in its right side was a hole … owes its existence to the belief that the power of healing and the knowledge of mysterious things are acquired by eating a little of the god's holy body …” ( Unknown Mexico , II, 170.)"" pg 216",,,,,,Stone,Magic,Spirits,,,,Adult,,,," (1938) Report of the Mr. and Mrs. Henry Pfeiffer expedition for Huichol ethnography: the Huichols: primitive artists
Section: A. TECHNIQUES OF SORCERY
By: Zingg, Robert M. (Robert Mowry)",
Huichol,Northwestern Mexico,"""Dolls for the girls are carved of wood or stone by the fathers. In either material, these bear a striking resemblance in slanting foreheads and eye-slits to figurines from Archaic archaeology. The girls wrap these in cloth. They play quietly around the house with these or with the household appurtanences, often getting in the way in their attempts to help their mothers. "" pg 124",,,,,,"Wood, Stone",Play,,,Child,Girl,Adult,Man,,," (1938) Report of the Mr. and Mrs. Henry Pfeiffer expedition for Huichol ethnography: the Huichols: primitive artists
Section: D. HUICHOL CHILDHOOD
By: Zingg, Robert M. (Robert Mowry)",
Haida,Northwest Coast and California,"""We used to make our own dolls because there's no store here with dolls. The head was made of colored cloth and the eyes, nose, and mouth were embroidered on. We stuffed the head with rags or anything. When I started going to school the missionaries gave the kids Christmas presents, toys and things. They gave all the girls my age pretty wax dolls; we were so proud of the dolls."" pg 88",,,,,,Wax,Play,,,Child,Girl,,,,," (1982) During my time: Florence Edenshaw Davidson, a Haida woman
Section: CHAPTER 6: I Am Yet a Girl (1897–1909)
By: Blackman, Margaret B. ",
