Society,SCCS.Name,Region,Subsistence,Latitude,Longitude,Fertility,Spirits,Punishment,Protection,Sex.Play,Sex.Magic,Sex.Total,Play,Magic,Complexity,Impotence,Sex.Frequency,Explanation.of.Barrenness,Sterility.Causes.Divorce,Revenge,Gossip,tree_name,Assault,Revenge.Norms
Aranda,Aranda,Oceania,NA,24.25,133.5,0,0,0,0,0,NA,0,1,0,3,NA,NA,NA,0,1,3,Aranda,9,4
Basques,Basques,Europe,NA,43.25,-1.67,0,0,0,0,1,NA,1,1,0,37,NA,NA,NA,NA,0,NA,Basques,NA,NA
Haitians,Haitians,Central America,NA,18.83,-72.17,0,0,1,0,1,0,0,1,1,35,1,2,NA,0,0,5,Haitians,NA,1
Imperial Rome,Romans,Europe,NA,41.67,13.5,0,1,0,1,1,1,1,1,1,39,NA,NA,NA,4,0,5,Romans,8,NA
Irish,Irish,Europe,NA,53.5,-10,0,0,0,1,NA,1,1,0,1,37,NA,2,0,4,1,4,Irish,NA,NA
Saramacca,Saramacca,South America,NA,3.5,-55.75,0,0,0,0,1,NA,1,1,0,16,1,NA,1,2,1,NA,Saramacca,9,2
Russians,Russians,Europe,NA,52.67,41.33,0,1,0,0,1,0,0,1,1,38,NA,NA,NA,NA,0,2.5,Russians,1,NA
Burusho,Burusho,Asia,NA,36.43,74.58,0,0,0,0,1,NA,1,1,0,23,NA,NA,NA,3,0,0,Burusho,6,NA
Kurds,Kurd,Asia,NA,36.5,44.5,0,0,0,1,NA,0,0,0,1,33,NA,NA,NA,4,1,4,Kurd,5,5
Fellahin,Egyptians,Africa,NA,30,31,1,0,0,1,1,1,1,1,1,37,1,1,NA,3,0,2,Egyptians,NA,3
Amhara,Amhara,Africa,NA,12.5,37.75,0,1,0,0,0,0,0,1,1,32,1,NA,NA,NA,0,5,Amhara,9,5
Abkhaz,Abkhaz,Europe,NA,43.13,40.77,0,0,0,1,NA,1,1,0,1,26,NA,NA,NA,2,0,0,Abkhaz,NA,NA
Saami,Lapps,Europe,NA,53,142,0,0,0,0,1,NA,1,1,0,8,NA,2,NA,4,1,4,Lapps,3,NA
Nenets,Yurak_Samoyed,Asia,NA,68,51.5,1,1,0,1,NA,1,1,0,1,8,NA,NA,NA,0,1,1.5,Yurak_Samoyed,NA,NA
Gond,Gond,Asia,NA,20,81,0,0,1,0,NA,-1,-1,0,1,17,NA,2,1,NA,NA,NA,Gond,1,NA
Konso,Konso,Africa,NA,5.25,37.5,0,1,0,0,NA,0,0,0,1,24,NA,4,NA,0,1,NA,Konso,NA,NA
Somalia,Somali,Africa,NA,9,47.25,0,0,0,0,1,NA,1,1,0,18,NA,4,NA,1,NA,4,Somali,1,3
Shilluk,Shilluk,Africa,NA,9.75,31.5,0,1,1,0,NA,1,1,0,1,22,0,2,NA,4,1,4,Shilluk,9,4
Teda,Teda,Africa,NA,20.5,17.5,0,0,0,0,1,NA,1,1,0,11,NA,NA,NA,0,1,0,Teda,NA,NA
Maasai,Masai,Africa,NA,3.5,36.75,0,0,0,0,1,NA,1,1,0,9,NA,NA,NA,4,0,5,Masai,5,NA
Hadza,Hadza,Africa,NA,3.75,35.18,NA,NA,0,0,1,NA,1,1,1,0,NA,NA,1,0,NA,NA,Hadza,9,NA
Nyakyusa and Ngonde,Nyakyusa,Africa,NA,9.5,34,0,0,0,0,1,NA,1,1,0,18,1,NA,NA,0,1,2,Nyakyusa,7,5
Luguru,Luguru,Africa,NA,6.83,37.67,1,0,0,0,1,1,1,1,1,19,NA,NA,NA,1,1,NA,Luguru,NA,NA
Ganda,Ganda,Africa,NA,0.33,32.5,0,1,0,0,0,0,0,1,1,27,NA,2,1,0,0,3,Ganda,NA,4
Tsonga,Thonga,Africa,NA,25.83,32.33,0,1,0,0,1,0,0,1,1,20,1,2,1,4,0,3,Thonga,NA,1
Lozi,Lozi,Africa,NA,16,23.5,0,1,0,1,NA,0,0,0,1,20,NA,NA,NA,4,0,3,Lozi,9,NA
Ovimbundu,Mbundu,Africa,NA,12.25,16.5,1,1,0,1,1,0,0,1,1,22,NA,NA,NA,1,1,2,Mbundu,NA,NA
Tiv,Tiv,Africa,NA,7.25,9,0,1,0,0,NA,0,0,0,1,19,1,1,NA,4,1,3,Tiv,NA,2
Igbo,Ibo,Africa,NA,5.5,7.33,1,0,0,0,1,1,1,1,1,24,NA,NA,NA,0,1,5,Ibo,NA,NA
Fon,Fon,Africa,NA,7.2,1.91,0,1,0,0,0,0,0,1,1,30,1,NA,1,NA,1,NA,Fon,1,1
Akan,Ashanti,Africa,NA,7,-1.5,1,1,1,0,1,0,0,1,1,24,NA,NA,NA,2,0,3.5,Ashanti,2,NA
Tallensi,Tallensi,Africa,NA,10.66,-0.57,0,0,0,0,1,NA,1,1,0,22,NA,4,NA,4,1,3.5,Tallensi,1,2
Wolof,Wolof,Africa,NA,13.75,-15.33,0,0,0,0,1,NA,1,1,0,29,1,NA,1,2,0,4,Wolof,NA,NA
Azande,Azande,Africa,NA,5.08,28.25,0,0,0,0,1,NA,1,1,0,21,1,2,NA,0,1,5,Azande,5,3
Bambara,Bambara,Africa,NA,12.5,-7,0,1,0,0,NA,0,0,0,1,28,1,2,NA,0,0,2,Bambara,9,4
Hausa,Hausa,Africa,NA,10.5,7.5,0,0,0,0,1,NA,1,1,0,33,1,NA,NA,3,0,4,Hausa,NA,NA
Kung,Kung_Bushmen,Africa,NA,20,21,0,0,0,0,1,NA,1,1,0,2,NA,4,NA,3,0,5,Kung_Bushmen,NA,2
